Name,Release_Year,Genres,Review_Score,Avg_Main_Story,Avg_Main_+_Extras,Avg_Completionist,Avg_All_PlayStyles,Speedrun_Avg,Speedrun_Fastest,Speedrun_Slowest,Primary_Genre
The Witcher 2: Assassins of Kings,2011.0,"Third-Person, Action, Hack and Slash, Role-Playing",82,24.23,35.32,56.77,34.57,9.47,8.2,10.73,Action
Life Is Strange,2015.0,"Third-Person, Adventure",84,14.37,16.7,18.88,16.52,9.0,9.0,9.0,Adventure
Metal Gear Solid V: The Phantom Pain,2015.0,"Third-Person, Action, Adventure",83,46.28,84.25,168.33,86.88,28.27,28.27,28.27,Adventure
A Plague Tale: Innocence,2019.0,"Action, Adventure, Stealth",80,10.88,12.8,16.18,12.37,,,,Adventure
High On Life,2022.0,"First-Person, Shooter",74,9.18,12.95,18.52,11.43,,,,Shooter
Celeste,2018.0,Platform,88,8.5,15.18,38.3,13.75,1.13,0.43,2.93,Platform
Doom Eternal,2020.0,"First-Person, Shooter",87,14.47,20.22,28.37,19.55,,,,Shooter
Rise of the Tomb Raider,2015.0,"Third-Person, Action, Adventure",80,13.7,22.48,36.1,21.35,,,,Adventure
Yakuza 0,2015.0,"Action, Adventure",90,31.82,66.55,141.9,61.88,9.1,8.0,10.2,Adventure
Nier: Automata,2017.0,"Third-Person, Action, Hack and Slash, Role-Playing",88,21.33,38.03,62.53,37.73,6.75,2.25,11.43,Action
Dark Souls III,2016.0,"Action, Role-Playing",90,32.72,50.28,102.6,54.23,4.78,1.37,9.75,Action
Terraria,2011.0,"Action, Adventure",85,51.65,92.92,205.28,113.2,4.1,1.27,5.85,Adventure
Marvel's Spider-Man: Miles Morales,2020.0,"Third-Person, Action, Adventure, Open World",83,7.58,12.43,18.08,13.18,3.88,3.08,4.5,Adventure
Batman: Arkham Knight,2015.0,"Third-Person, Action, Adventure",82,16.87,31.85,51.07,31.65,,,,Adventure
Undertale,2015.0,"Turn-Based, Role-Playing",86,6.98,11.5,21.48,10.9,1.48,0.93,2.52,Turn-Based
Persona 4 Golden,2012.0,"Third-Person, Turn-Based, Role-Playing, Simulation",92,68.82,85.97,138.9,85.0,33.62,28.5,37.38,Turn-Based
Fallout 4,2015.0,"First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",76,27.98,86.65,167.18,87.38,3.12,0.73,9.63,Shooter
Dishonored,2012.0,"First-Person, Action, Sandbox, Stealth",83,12.23,18.95,38.58,17.42,2.48,0.62,8.0,Action
Little Nightmares,2017.0,"Adventure, Platform, Puzzle",77,3.58,5.0,8.12,4.3,1.07,0.7,1.67,Adventure
Resident Evil 2,2019.0,"Third-Person, Horror, Survival",88,8.9,15.47,36.33,13.25,1.85,0.87,4.98,Horror
The Legend of Zelda: Breath of the Wild,2017.0,"Third-Person, Action, Adventure, Open World",94,50.45,100.85,194.07,99.03,3.13,0.98,6.0,Adventure
Fallout: New Vegas,2010.0,"First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",87,27.55,62.72,137.53,63.93,2.72,0.75,6.5,Shooter
Left 4 Dead 2,2009.0,"First-Person, Action, Horror, Shooter",80,10.3,28.4,57.53,20.43,3.25,1.9,6.0,Horror
Batman: Arkham City GOTY,2012.0,"Action, Adventure",85,13.98,24.1,58.4,22.77,2.22,0.3,4.38,Adventure
Batman: Arkham Asylum GOTY,2010.0,"Third-Person, Action, Adventure, Beat em Up",82,11.27,16.23,25.73,15.33,5.08,2.65,7.0,Adventure
BioShock 2,2010.0,"First-Person, Action, Horror, Shooter",78,10.78,14.78,24.73,13.7,5.63,3.97,7.3,Horror
Disco Elysium,2019.0,"Isometric, Adventure, Role-Playing",91,23.23,32.97,46.07,32.43,,,,Adventure
Horizon Zero Dawn - Complete Edition,2017.0,"Third-Person, Action, Adventure, Open World, Role-Playing",86,29.62,53.72,77.67,56.62,7.12,3.37,11.0,Adventure
Vampire Survivors,2022.0,"Top-Down, Action, Roguelike",83,11.7,20.97,40.78,30.12,6.0,6.0,6.0,Action
Half-Life 2,2004.0,"First-Person, Shooter",88,13.08,15.95,20.32,14.87,4.2,0.98,8.0,Shooter
Pokémon Scarlet and Violet,2022.0,"Third-Person, Open World, Role-Playing",74,32.43,47.02,78.67,47.77,,,,Role-Playing
Stray,2022.0,"Third-Person, Adventure, Puzzle",80,5.05,6.47,9.7,6.47,1.72,1.47,3.72,Adventure
Dead Space,2023.0,"Third-Person, Horror, Shooter, Survival",93,11.75,13.57,21.95,13.23,,,,Horror
