Name,Release_Year,Genres,Review_Score,Avg_Main_Story,Avg_Main_+_Extras,Avg_Completionist,Avg_All_PlayStyles,Speedrun_Avg,Speedrun_Fastest,Speedrun_Slowest,Primary_Genre
Pink Explorer,2022.0,Action,60,0.87,,,0.87,,,,Action
Burnhouse Lane,2022.0,"Action, Adventure",90,9.98,12.32,,10.77,,,,Adventure
Grimoire Chronicles,2017.0,"Adventure, Role-Playing",0,,,,,,,,Adventure
Vampire: The Masquerade - Heartless Lullaby,2022.0,Role-Playing,70,1.27,1.42,1.17,1.22,,,,Role-Playing
Palmyra Orphanage,2019.0,"First-Person, Horror",75,2.17,1.62,2.73,2.27,,,,Horror
The Dark Crystal: Age of Resistance Tactics,2020.0,"Turn-Based, Strategy",51,18.67,21.43,,20.4,,,,Turn-Based
A.I.M. Racing,2010.0,Racing/Driving,0,11.23,,,11.23,,,,Racing/Driving
Sea Horizon,2022.0,"Turn-Based, Roguelike, Role-Playing",0,,,,,,,,Turn-Based
Drill Deal - Oil Tycoon,2022.0,"Real-Time, Simulation, Strategy/Tactical",0,,,,,,,,Real-Time
The Golf Club,2014.0,"Simulation, Sports",58,9.83,12.32,14.0,12.05,,,,Simulation
The Firemen,,"Action, Adventure",75,1.68,1.98,2.25,1.78,,,,Adventure
Depraved Awakening,2019.0,Visual Novel,78,3.83,5.45,9.23,7.92,,,,Visual Novel
Godzilla,1990.0,Action,50,3.35,,,3.35,,,,Action
20b,2022.0,Visual Novel,50,,,,,,,,Visual Novel
Haunted Hotel: Silent Waters,2022.0,Hidden Object,0,,,,,,,,Hidden Object
Pastry Lovers,2017.0,Visual Novel,60,3.6,3.37,13.27,7.67,,,,Visual Novel
Mango,2021.0,"First-Person, Adventure",85,5.52,8.0,5.83,6.22,,,,Adventure
Danganronpa V3: Killing Harmony - Demo Ver.,2016.0,Visual Novel,73,1.17,1.55,3.03,2.03,,,,Visual Novel
Might and Magic: Swords of Xeen,,Role-Playing,80,27.33,,20.0,24.88,,,,Role-Playing
Rescue Team 6,2016.0,,0,10.33,,,10.33,,,,
Lamp Chronicle,2021.0,Platform,0,,,,,,,,Platform
Amok Runner,2022.0,"Action, Open World",0,2.17,,,2.17,,,,Action
Welcome House,1996.0,"Third-Person, Adventure, Puzzle",80,1.1,,,1.1,,,,Adventure
The Crew: Calling All Units,2016.0,Open World,50,2.22,,,2.22,,,,
Bug Attack!,2018.0,Action,0,,,,,,,,Action
Deep Under the Sky,2014.0,"Real-Time, Action",60,2.32,2.97,4.0,2.72,,,,Action
Saints Row IV - Enter the Dominatrix DLC,2013.0,"Third-Person, Action, Adventure, Sandbox, Shooter",68,1.08,1.32,1.73,1.32,,,,Adventure
BattleRush,2018.0,,55,,,,,,,,
2 Synchro Hedgehogs,2021.0,"Side, Adventure, Platform, Puzzle",0,,,,,,,,Adventure
Home Improvement: Power Tool Pursuit!,,"Action, Platform",50,6.0,,,6.0,,,,Action
Dragon's Lair: The Legend,,Platform,70,4.42,,,4.42,,,,Platform
My Riding Stables: Life with Horses,2014.0,Simulation,0,,,,,,,,Simulation
TAIKU MANSION,2017.0,Adventure,20,0.33,0.58,0.6,0.58,,,,Adventure
Astronium,2022.0,"Action, Role-Playing",0,,,,,,,,Action
Gods of Love: An Otome Visual Novel,2020.0,Visual Novel,0,,,,,,,,Visual Novel
Madou Monogatari I,1996.0,"First-Person, Action, Adventure, Roguelike, Role-Playing",60,11.1,,,11.1,,,,Adventure
Samurai Shodown! 2,1999.0,Fighting,63,0.58,,,0.58,,,,Fighting
Pro Evolution Soccer 2008,2007.0,Sports,68,24.0,35.0,87.45,57.1,,,,Sports
Sex Chess,2022.0,"Action, Strategy/Tactical",60,,,2.6,2.6,,,,Action
LocoSoccer,2015.0,Sports,60,2.33,,,2.33,,,,Sports
The Last Enchantress: Revival,2022.0,Visual Novel,0,,,,,,,,Visual Novel
Magic Wand,2016.0,"Adventure, Role-Playing",60,1.5,2.72,,1.8,,,,Adventure
Yestermorrow,2020.0,Platform,60,6.0,6.5,14.25,11.05,,,,Platform
Tao's Adventure: Curse of the Demon Seal,2005.0,Role-Playing,0,41.25,,66.17,49.55,,,,Role-Playing
Holiday Bonus GOLD,2016.0,Puzzle,0,,,,,,,,Puzzle
Liberty or Death,,Turn-Based,80,,,,,,,,Turn-Based
Lifeslide,2021.0,Adventure,80,4.4,3.83,4.62,4.27,,,,Adventure
Puzzle Quest: The Legend Returns,2019.0,"Puzzle, Role-Playing",72,20.0,48.17,,44.65,,,,Puzzle
Who Knocks,2022.0,"First-Person, Adventure",0,3.0,,4.0,3.5,,,,Adventure
Anyland,2016.0,Massively Multiplayer,0,,,,,,,,Massively Multiplayer
Cars: Toon - Mater's Tall Tales,2010.0,Racing/Driving,53,2.05,,4.27,2.6,,,,Racing/Driving
Hungry Shark Evolution,2012.0,Arcade,64,,8.0,,8.0,,,,Arcade
Spider-Man: Battle for New York,2006.0,"Action, Platform",44,3.18,3.0,3.1,3.13,,,,Action
Might and Magic: World of Xeen,,Role-Playing,79,48.92,54.17,67.77,55.82,,,,Role-Playing
Dark Chambers,,"Action, Adventure",70,1.03,,0.9,1.0,,,,Adventure
Mickey's Playtown Adventure: A Day of Discovery!,,"Side, Adventure",50,1.13,,,1.13,,,,Adventure
Ortus Regni,2016.0,Strategy,30,,,,,,,,Strategy
Paint it Back,2015.0,Puzzle,71,20.65,43.22,39.78,38.67,,,,Puzzle
Osteoblasts,2021.0,"Turn-Based, Role-Playing",90,,11.48,,11.48,,,,Turn-Based
Princess Isabella: Rise of an Heir,2014.0,Hidden Object,56,2.17,2.47,2.52,2.4,,,,Hidden Object
Metel - Horror Escape,2020.0,"First-Person, Horror",100,,,,,,,,Horror
Fernbus Simulator,2016.0,Simulation,80,,,,,,,,Simulation
House of Evil,2017.0,"Adventure, Survival Horror",0,,,,,,,,Horror
The Backroom - Lost and Found,2022.0,Adventure,80,,,,,,,,Adventure
Karos Online,2014.0,"Massively Multiplayer, Role-Playing",0,,,,,,,,Massively Multiplayer
The Agency of Anomalies: Mind Invasion,2018.0,Adventure,0,,,,,,,,Adventure
Doritos Crash Course,2010.0,Platformer,58,1.68,3.0,9.62,4.42,,,,Platformer
Tiny Tina's Wonderlands: Molten Mirrors,2022.0,"First-Person, Action, Role-Playing",0,,0.8,,0.8,,,,Action
Sorcery Jokers,2018.0,Visual Novel,80,34.32,,48.52,37.15,,,,Visual Novel
NosTale,2017.0,"Massively Multiplayer, Role-Playing",70,,,,,,,,Massively Multiplayer
Time Thief,2022.0,Action,0,,,,,,,,Action
Escape from Naraka,2021.0,"First-Person, Action, Platform",0,3.23,,,3.23,,,,Action
Flowers Blooming at the End of Summer,2021.0,Visual Novel,0,7.0,,,7.0,,,,Visual Novel
Override,1991.0,Shooter,80,0.5,,,0.5,,,,Shooter
Great Permutator,,Puzzle,70,,,5.55,5.55,,,,Puzzle
Hot Dish,2008.0,Management,0,3.58,,,3.58,,,,Management
Golden Axe Warrior,,"Action, Adventure",74,6.02,4.8,7.33,6.03,,,,Adventure
Tiny Tina's Wonderlands: Glutton's Gamble,2022.0,"First-Person, Action, Role-Playing",0,,0.73,,0.73,,,,Action
Putty Pals,2017.0,Action,80,4.0,3.8,,3.9,,,,Action
Dark Sun: Wake of the Ravager,1994.0,"Top-Down, Role-Playing",60,55.62,15.28,,35.45,,,,Top-Down
Twin Mind: Ghost Hunter,2022.0,Hidden Object,0,,,,,,,,Hidden Object
Tiny Tina's Wonderlands: Coiled Captors,2022.0,"Action, Role-Playing",0,0.52,,,0.52,,,,Action
Way Down,2022.0,"Action, Adventure",50,,,,,,,,Adventure
AIRIS,2017.0,Visual Novel,77,2.77,4.55,7.17,5.17,,,,Visual Novel
Disney Princess: Enchanted Journey,2007.0,"Action, Adventure",51,5.0,2.5,3.67,3.47,,,,Adventure
Making History II: The War of the World,2010.0,"Turn-Based, Strategy",0,,,,,,,,Turn-Based
The Red Star,2007.0,"Action, Beat ",79,5.63,,,5.63,,,,Action
Star Wars: Return of the Jedi - Death Star Battle,,"Scrolling, Shooter",40,0.25,,,0.25,,,,Shooter
Pit-Fighter,,Fighting,48,0.52,1.23,0.53,0.6,,,,Fighting
Blood Wake,2001.0,Vehicle combat,70,5.82,8.0,30.0,11.08,,,,Vehicle combat
Grisaia Phantom Trigger Vol.3,2017.0,Visual Novel,67,2.57,,2.6,2.58,,,,Visual Novel
Mekorama,2016.0,Puzzle,54,2.48,,3.1,2.62,,,,Puzzle
Basketball Pro Management 2015,2014.0,"Simulation, Sports",63,,,,,,,,Simulation
Night Reverie,2021.0,Adventure,68,4.47,4.5,4.67,4.55,,,,Adventure
Nancy Drew: Ghost of Thornton Hall,2013.0,"Point-and-Click, Adventure",72,9.47,,6.0,8.6,,,,Adventure
Take No Prisoners,1997.0,Action,40,,8.25,,8.25,,,,Action
Frontline Tactics,2012.0,"Turn-Based, Strategy",0,,,,,,,,Turn-Based
Adventure Time: Explore the Dungeon Because I Don't Know!,2013.0,"Action, Adventure",39,8.87,10.98,30.57,11.47,,,,Adventure
Interactivity: The Interactive Experience,2019.0,,55,0.67,1.0,1.23,0.88,,,,
Caveman World: Mountains of Unga Boonga,2016.0,Adventure,10,,,,,,,,Adventure
...iru!,1998.0,"First-Person, Adventure, Horror",63,3.72,6.42,5.17,4.33,,,,Horror
Dragonfire,,"Side, Action",40,0.18,,,0.18,,,,Action
Trinity Universe,2009.0,Role-playing,61,41.0,,72.4,56.7,,,,Role-playing
Tiny Tina's Wonderlands: Shattering Spectreglass,2022.0,"First-Person, Action, Role-Playing",0,,0.95,,0.95,,,,Action
Sluggish Morss: Pattern Circus,,,0,,,,,,,,
Pixross,2020.0,Puzzle,80,,3.0,6.33,5.85,,,,Puzzle
Sky Odyssey,2000.0,Simulation,83,4.15,,,4.15,,,,Simulation
Fullmetal Alchemist 2: Curse of the Crimson Elixir,2004.0,,66,8.07,9.67,,8.43,,,,
Everyday Genius: SquareLogic,2010.0,Puzzle,85,17.98,50.33,,31.85,,,,Puzzle
Origin of Destiny,2016.0,Role-Playing,100,,,,,,,,Role-Playing
Summer Athletics,2008.0,Sports,60,,,,,,,,Sports
Europa,,"Action, Adventure",0,,,,,,,,Adventure
Sparkle 2,2013.0,Puzzle,69,4.7,10.85,33.33,9.88,,,,Puzzle
The Getaway: Black Monday,2004.0,"Action, Adventure",66,8.0,13.1,19.33,10.75,,,,Adventure
Space Quest V: Roger Wilco - The Next Mutation,,Adventure,76,6.2,,7.3,6.45,,,,Adventure
The Immortal Mayor,2021.0,"Management, Simulation",0,,,,,,,,Management
The Witch & The 66 Mushrooms,2020.0,"Side, Scrolling, Action",70,1.82,,4.3,3.05,,,,Action
Warriors Orochi 3 Ultimate,2014.0,Hack and Slash,83,43.58,95.35,213.25,105.85,,,,Hack and Slash
The Bee Game,2007.0,"Action, Platform",70,,,,,,,,Action
Otogi 2: Immortal Warriors,2003.0,"Hack and Slash, Action",82,9.13,12.0,,9.7,,,,Action
MySims,2007.0,Simulation,66,13.87,15.0,60.08,21.2,,,,Simulation
Hot Shots Golf 3,2001.0,Sports,66,33.33,,31.0,32.4,,,,Sports
Secrets of Magic: The Book of Spells,2016.0,Puzzle,0,,,,,,,,Puzzle
Skeet: VR Target Shooting,2016.0,"Virtual Reality, Simulation",0,,,,,,,,Virtual Reality
Pac-Man Museum+,2022.0,"Top-Down, Compilation",67,2.63,,,2.63,,,,Top-Down
Fire Emblem Heroes: Book V,2020.0,"Top-Down, Role-Playing, Strategy/Tactical",70,1.17,2.0,,1.58,,,,Top-Down
Tecmo Super Bowl,,Sports,91,20.92,,50.92,32.17,,,,Sports
Nova Nukers!,2018.0,,50,,,,,,,,
Dinner with an Owl,2021.0,"Point-and-Click, Puzzle",68,0.52,0.67,0.5,0.52,,,,Puzzle
Tokimeki Memorial Girl's Side: 3rd Story,2010.0,Simulation,80,22.83,,35.0,28.92,,,,Simulation
Rising Zan: The Samurai Gunman,1999.0,"Action, Adventure",69,3.73,3.62,,3.72,,,,Adventure
Trivia Vault: Toy Trivia,2018.0,Trivia,30,,,0.03,0.03,,,,Trivia
Fullmetal Alchemist: Dual Sympathy,2005.0,Action,58,9.48,,,9.48,0.62,0.62,0.62,Action
Nioh - Bloodshed's End DLC,2017.0,"Third-Person, Action, Role-Playing",79,5.92,10.68,15.35,9.28,,,,Action
Grand Guilds,2020.0,"Role-Playing, Tactical",58,25.0,28.67,,27.75,,,,Role-Playing
FullMetal Alchemist And The Broken Angel,2003.0,,64,11.4,16.5,,12.85,,,,
Evil Dead: A Fistful of Boomstick,2003.0,"Action, Survival Horror",64,6.83,5.78,,6.55,,,,Horror
The Pirate: Caribbean Hunt,2016.0,Adventure,0,15.0,,,15.0,,,,Adventure
Borderlands: The Pre-Sequel! - The Holodome Onslaught,2014.0,"First-Person, Role-Playing, Shooter",51,1.68,2.52,2.18,2.17,,,,Shooter
NHL 96,1995.0,Sports,84,16.52,,60.0,25.22,,,,Sports
Endless World - Idle RPG,2019.0,Role-Playing,30,,,242.7,242.7,,,,Role-Playing
Final Match Tennis,1991.0,Sports,70,3.53,,,3.53,,,,Sports
Infinite Links,2022.0,Role-Playing,0,,15.1,,15.1,,,,Role-Playing
Nightmares To Be,2021.0,"First-Person, Adventure, Horror",0,,,,,,,,Horror
Dreamwalker: Never Fall Asleep,2018.0,,61,3.32,3.4,3.73,3.52,,,,
Fruit Arranger,2017.0,,20,0.12,,2.07,1.73,,,,
Epic Manager,2016.0,"Role-Playing, Stealth",80,54.0,,15.0,34.5,,,,Role-Playing
SwarmRiders,2016.0,"Multidirectional, Shooter",73,3.0,,1.0,1.17,,,,Shooter
At Home Alone Final,2021.0,Adventure,76,2.93,3.3,4.28,3.85,,,,Adventure
Spider-Man,1991.0,Platform,63,1.5,,,1.5,,,,Platform
Fantasy Life - Origin Island,,"Top-Down, Adventure, Role-Playing",80,,6.25,,6.25,,,,Adventure
Mystery Case Files: Ravenhearst,2006.0,"Adventure, Puzzle",69,6.3,,,6.3,,,,Adventure
Pokémon Phoenix Rising,,Role-Playing,0,,,,,,,,Role-Playing
Desert Law,2005.0,"Real-Time, Strategy",0,,,,,,,,Real-Time
Bunny Parking,2019.0,"Third-Person, Action, Puzzle, Sandbox",50,,,,,,,,Action
Let's Learn Japanese! Hiragana,2019.0,Puzzle,0,,,,,,,,Puzzle
Clock Simulator,2016.0,Point-and-Click,43,0.5,0.35,1.9,1.53,,,,Point-and-Click
Inspector Waffles,2021.0,"Side, Adventure",78,4.48,6.08,5.75,5.35,,,,Adventure
G String,2020.0,"First-Person, Real-Time, Shooter",76,11.83,11.4,,11.78,,,,Shooter
Lumberjack Simulator,2021.0,Simulation,0,,,,,,,,Simulation
PixelJunk Monsters,2007.0,Tower Defense,72,14.5,12.53,20.0,16.3,,,,Tower Defense
Jack Keane,2008.0,Adventure,68,10.72,11.3,,10.83,,,,Adventure
Destrega,,Fighting,66,1.92,,,1.92,0.18,0.18,0.18,Fighting
B.L.U.E.: Legend of Water,1998.0,Adventure,0,8.5,,,8.5,,,,Adventure
Dr. Daisy: Pet Vet,2008.0,Family,0,,3.22,3.48,3.35,,,,Family
Sonic GT,,,100,,37.0,,37.0,,,,
Damascus Gear: Operation Tokyo,2017.0,,60,14.5,14.08,27.0,17.42,,,,
Touhou 8 - Imperishable Night,2004.0,"Top-Down, Scrolling, Action, Shooter",78,1.75,24.45,70.0,10.12,,,,Shooter
Chex Quest,,"First-Person, Real-Time, Shooter",72,0.77,0.48,,0.75,,,,Shooter
Treasure of a Blizzard,2016.0,Visual Novel,50,,,4.82,4.82,,,,Visual Novel
Fortress V2,2020.0,"Side, Action, Shooter",0,,,,,,,,Shooter
Concursion,2014.0,"Real-Time, Scrolling, Action, Platform, Shooter",47,0.4,12.0,7.25,6.72,,,,Shooter
River City Ransom EX,2004.0,Beat em Up,69,2.98,4.52,4.43,3.75,,,,Beat em Up
Chulip,2002.0,Adventure,61,16.43,18.65,14.18,16.1,,,,Adventure
Let's Learn Japanese! Katakana,2019.0,Puzzle,0,,,,,,,,Puzzle
SOLITUNE,2016.0,Adventure,69,0.33,0.25,0.28,0.28,,,,Adventure
Letters From a Rainy Day: Oceans and Lace,2021.0,Visual Novel,90,,,8.7,8.7,,,,Visual Novel
Ninjala,2020.0,Action,63,1.0,,1.5,1.25,,,,Action
Okaeri,2019.0,Horror,55,0.63,0.57,0.67,0.63,,,,Horror
Papa Louie: When Pizzas Attack!,,,0,,,,,,,,
Colony Ship: A Post-Earth Role Playing Game,2021.0,"Turn-Based, Role-Playing",0,,,,,,,,Turn-Based
Mario Golf: World Tour,2014.0,"Third-Person, Turn-Based, Arcade, Sports",74,9.02,26.03,77.32,25.23,1.33,1.33,1.33,Turn-Based
Final Fantasy XI: Treasures of Aht Urhgan DLC,2006.0,"Massively Multiplayer, Role-Playing",85,14.32,,,14.32,,,,Massively Multiplayer
Nioh - Defiant Honor DLC,2017.0,"Third-Person, Real-Time, Action, Role-Playing",77,4.88,8.53,11.27,7.27,,,,Action
Gridworld,2015.0,Simulation,0,,,,,,,,Simulation
Star Horizon,2015.0,"On-Rails, Action",48,2.22,2.87,,2.37,,,,Action
Zanac X Zanac,2001.0,"Scrolling, Shooter",60,1.3,,,1.3,,,,Shooter
Star Wars: X-Wing,,Space Simulation,81,23.08,21.13,37.13,24.77,,,,Space Simulation
The Fog: Trap for Moths,2013.0,Hidden Object,60,3.18,,3.6,3.28,,,,Hidden Object
Eyra the Crow Maiden,2021.0,"Action, Platform",0,,,,,,,,Action
Earth Defense Force: World Brothers,2020.0,,80,12.23,14.83,,13.1,,,,
Landlord of the Woods,2021.0,"Point-and-Click, Adventure",75,0.8,0.82,0.78,0.8,,,,Adventure
Atelier Dusk Trilogy,2019.0,Compilation,0,,,,,,,,Compilation
Puyo Puyo,1991.0,Puzzle,0,,,,,,,,Puzzle
European Mystery: Scent of Desire,2017.0,Hidden Object,0,,,,,,,,Hidden Object
Orange Cast: Sci-Fi Space Action Game,2021.0,"Action, Adventure",0,,,,,,,,Adventure
Driven Out,2019.0,"Side, Scrolling, Action, Adventure",65,7.33,,4.4,6.6,,,,Adventure
Capybara Spa,2022.0,"Point-and-Click, Sandbox, Simulation",60,6.0,,7.13,6.97,,,,Point-and-Click
The Silver Case 2425,2021.0,Compilation,63,43.0,45.0,51.0,46.33,,,,Compilation
Crouching Pony Hidden Dragon,2014.0,"Action, Role-Playing",20,,,,,,,,Action
T-MEK,,"First-Person, Action, Shooter",0,,,,,,,,Shooter
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004.0,Beat em Up,66,8.62,,,8.62,,,,Beat em Up
Pizza Frenzy,2005.0,Action,74,4.13,,,4.13,,,,Action
Dr. Muto,2002.0,Platform,51,13.08,,15.25,13.63,,,,Platform
One Person Story,2018.0,Action,78,1.75,,1.0,1.55,,,,Action
Final Fantasy: Brave Exvius,2015.0,"Third-Person, Turn-Based, Role-Playing",61,154.98,200.0,,166.23,,,,Turn-Based
TribeXR DJ School,2019.0,"Music/Rhythm, Simulation",0,,,,,,,,Music/Rhythm
Super Monkey Ball Adventure,2006.0,Platform,50,3.2,11.63,8.0,7.6,,,,Platform
Otome * Domain,2016.0,"Adventure, Visual Novel",60,,,,,,,,Adventure
Doraemon: Story of Seasons - Friends of the Great Kingdom,2022.0,Simulation,70,,37.5,,37.5,,,,Simulation
Unfair Jousting Fair,2015.0,Sports,60,0.18,,,0.18,,,,Sports
One Piece: Romance Dawn,2014.0,Role-Playing,61,69.63,53.02,,57.17,,,,Role-Playing
Project Gotham Racing 3,2005.0,Racing/Driving,77,8.8,21.17,30.3,13.72,,,,Racing/Driving
The Scroll Of Taiwu,2018.0,Role-Playing,80,56.93,,,56.93,,,,Role-Playing
Red Riding Hood: Star Crossed Lovers,2005.0,Hidden Object,50,,,1.93,1.93,,,,Hidden Object
Transport Defender,2017.0,Strategy,50,,,,,,,,Strategy
MMM: Murder Most Misfortunate,2017.0,Visual Novel,60,2.32,3.0,2.83,2.65,,,,Visual Novel
Assessment Examination,2022.0,"Text, Horror",60,0.13,,,0.13,,,,Horror
Fall of the Titanic,2015.0,"Virtual Reality, Simulation",0,,,,,,,,Virtual Reality
Krautscape,2014.0,Racing/Driving,47,,,,,,,,Racing/Driving
Paper Dolls 2,2020.0,"First-Person, Horror, Survival",60,12.18,,,12.18,3.0,3.0,3.0,Horror
Dark Sun: Shattered Lands,,Role-Playing,75,26.3,25.1,36.4,27.98,,,,Role-Playing
Restless Night,2021.0,"Action, Adventure",0,,,,,,,,Adventure
Vigilante 8,1998.0,Vehicular Combat,75,5.67,18.67,29.48,13.98,,,,Vehicular Combat
Gary Grigsby's War in the West,2014.0,Simulation,0,,,,,,,,Simulation
Bohemian Killing,2016.0,"First-Person, Multidirectional, Adventure",49,1.75,4.0,7.57,3.77,0.03,0.03,0.03,Adventure
Cloney,2014.0,"Side, Platform",20,,,1.63,1.63,,,,Platform
Parasol Henbee,1991.0,"Action, Platform",70,0.85,,,0.85,,,,Action
OldMaidGirl,2017.0,"Virtual Reality, Card Game",0,,,,,,,,Virtual Reality
Darkest of Days,2009.0,First-person Shooter,54,6.48,7.75,8.17,6.92,,,,First-person Shooter
Amped 2,2003.0,Sports,78,7.0,,,7.0,,,,Sports
Jagged Alliance: Rage!,,,40,10.0,18.47,,16.35,,,,
Butterfly Soup 2,2022.0,Visual Novel,90,2.85,3.13,3.1,3.02,,,,Visual Novel
Doodle Mafia,2017.0,Simulation,43,4.35,8.0,4.85,4.97,,,,Simulation
Elemental,2021.0,"Action, Adventure",0,,,,,,,,Adventure
Disney's Stitch: Experiment 626,2002.0,Platform,53,,12.0,,12.0,,,,Platform
Action Man: Operation Extreme,2000.0,"Third-Person, Top-Down, Action, Car Combat",54,3.77,4.22,,3.92,,,,Action
Pac 'n Roll,2005.0,Platform,62,3.88,,2.0,3.25,,,,Platform
BADLAND,,"Scrolling, Action, Adventure",74,5.63,5.75,,5.68,,,,Adventure
Owl's Nest,,,0,,,,,,,,
Super Monkey Ball Touch & Roll,2005.0,Party,57,1.33,9.15,,3.93,,,,Party
"Slayers (1994, SNES)",1994.0,Role-Playing,48,9.0,11.0,17.57,14.53,,,,Role-Playing
Project Justice,,"Side, Fighting",83,1.0,,6.67,2.55,,,,Fighting
Haque,2017.0,"Role-Playing, Strategy",0,5.83,,,5.83,,,,Role-Playing
Farmer's Life,2021.0,Simulation,0,,,,,,,,Simulation
Pink Panther: Pinkadelic Pursuit,,"Action, Platform",70,3.93,5.0,4.93,4.22,0.47,0.25,0.68,Action
RoadBlasters,,"Third-Person, Racing/Driving",47,1.5,,,1.5,,,,Racing/Driving
Chippy,2019.0,"Multidirectional, Shooter",70,10.02,,,10.02,,,,Shooter
Enthusia Professional Racing,2005.0,Racing/Driving,65,26.15,34.38,,28.2,,,,Racing/Driving
Maken Shao: Demon Sword,2003.0,"Third-Person, Action",65,5.23,6.67,,5.6,,,,Action
Stakes Winner,1995.0,Sports,0,,,,,,,,Sports
Overblood,1996.0,"Adventure, Survival Horror",55,4.92,6.02,6.32,5.3,,,,Horror
Link: The Faces of Evil,1993.0,"Action, Adventure",34,2.17,4.33,5.65,3.57,,,,Adventure
QuiVr Vanguard,2018.0,Virtual Reality,0,,,,,,,,Virtual Reality
Wait! Life is beautiful!,2020.0,"Point-and-Click, Adventure",57,2.07,,5.63,3.48,,,,Adventure
"3 out of 10, EP 4: ""Thank You For Being An Asset""",2020.0,"Point-and-Click, Adventure, Visual Novel",66,0.67,0.77,0.88,0.75,,,,Adventure
Truxton,,"Scrolling, Shooter",71,1.25,1.08,,1.22,,,,Shooter
Samurai II: Vengeance,,Action,57,3.28,,,3.28,,,,Action
Martial Champion,1993.0,Fighting,0,,,,,,,,Fighting
Dynasty Warriors 7,2011.0,"Hack and slash, Action",75,23.67,43.12,114.58,63.13,,,,Action
Captain Prosper,2020.0,"Turn-Based, Role-Playing, Strategy/Tactical",0,,,,,,,,Turn-Based
SAOMI,2022.0,"Action, Adventure",0,,,,,,,,Adventure
RC Mini Racers,2015.0,Racing/Driving,30,,2.25,1.53,1.88,,,,Racing/Driving
Ultimate Sudoku Collection,2018.0,Puzzle,0,,,,,,,,Puzzle
Agent Walker: Secret Journey,2016.0,Adventure,60,2.48,3.72,4.1,3.65,,,,Adventure
Madagascar 3: The Video Game,2012.0,Adventure,62,5.0,,17.5,14.37,,,,Adventure
Sex with Stalin,2020.0,,60,0.23,,2.97,2.28,,,,
Ravenloft: Stone Prophet,,Role-Playing,77,16.3,15.78,,16.1,,,,Role-Playing
Lost Soul Aside,,"Action, Role-Playing",0,,,,,,,,Action
Barro Racing,2020.0,Racing/Driving,20,,,0.32,0.32,,,,Racing/Driving
Magical Chase,1991.0,"Scrolling, Shooter",61,0.97,2.0,3.42,1.33,,,,Shooter
Runout,2022.0,Platform,0,,,,,,,,Platform
Art Style: AQUIA,2009.0,Puzzle,0,,,,,,,,Puzzle
Wobbly Life,2020.0,"Open World, Sandbox",0,2.5,,,2.5,,,,Sandbox
Super Exploding Zoo,2015.0,Action,58,3.5,4.78,6.35,5.37,,,,Action
Dual Heroes,1997.0,Fighting,55,0.38,,,0.38,,,,Fighting
Samurai Shodown III: Blades of Blood,1995.0,Fighting,65,1.58,2.0,2.2,1.67,,,,Fighting
Age of Defense,2019.0,Tower Defense,0,,,,,,,,Tower Defense
Classic British Motor Racing,2006.0,Simulation,0,,,,,,,,Simulation
The Ship: Remasted,2016.0,"First-Person, Action",60,,,,,,,,Action
Gremlins 2: The New Batch (Amiga),,"Third-Person, Scrolling, Action, Platform",0,,,,,,,,Action
RAYZE,2021.0,"First-Person, Racing/Driving",40,1.0,,,1.0,,,,Racing/Driving
Wizard with a Gun,,"Sandbox, Survival",0,,,,,,,,Sandbox
Killer Klownz,2016.0,"Action, Adventure",0,,,,,,,,Adventure
Not Dying Today,2017.0,Action,53,4.3,3.0,4.35,4.05,,,,Action
QuiVr,2016.0,Virtual Reality,0,,,,,,,,Virtual Reality
Mago,2022.0,Platform,78,8.55,15.75,,12.15,,,,Platform
Sportsball,2014.0,Sports,0,,,,,,,,Sports
Phineas and Ferb: Quest for Cool Stuff,2013.0,,60,2.33,3.25,4.47,3.7,,,,
Bomb Rush Cyberfunk,,"Action, Adventure",0,,,,,,,,Adventure
Ys II,1988.0,"Action, Role-Playing",72,8.62,11.28,11.48,10.45,,,,Action
Anarchy Reigns,2013.0,"Action, Fighting",66,5.67,7.37,23.5,7.13,,,,Action
Platform Builder,2018.0,"Side, Platform",0,,,,,,,,Platform
Wacky Wings,2017.0,Racing/Driving,0,2.7,,,2.7,,,,Racing/Driving
InfraSpace,2021.0,City-Building,50,,,,,,,,City-Building
Haven Moon,2016.0,"Point-and-Click, Adventure",73,5.18,,3.45,4.02,,,,Adventure
Fallstreak: Requiem for my Homeland,2020.0,Visual Novel,0,2.5,,,2.5,,,,Visual Novel
100 Hidden Cups,2021.0,"Point-and-Click, Adventure",38,,,0.28,0.28,,,,Adventure
Tube-It,,,0,,,,,,,,
Samurai Shodown VI,,Fighting,74,0.47,3.43,,1.45,0.47,0.47,0.47,Fighting
Anarchy Online,,"Massively Multiplayer, Role-Playing",80,,,,,,,,Massively Multiplayer
CardLife,2018.0,,0,,,,,,,,
Carbon Steel,2022.0,"Horror, Puzzle",0,,,0.75,0.75,,,,Horror
Devil's Crush,,"Top-Down, Pinball",81,2.22,,11.03,5.17,,,,Top-Down
Dead Heat,2023.0,Adventure,0,,,,,,,,Adventure
Zen of Sudoku,2006.0,Puzzle,80,27.0,,,27.0,,,,Puzzle
BorderZone,2006.0,"Action, Role-Playing",0,,,,,,,,Action
Adam's Venture - Episode 3: Revelations,2012.0,Adventure,57,1.88,3.1,2.28,2.15,,,,Adventure
